"subject","predicate","object"
"https://w3id.org/arco/resource/AccessProfile/1300034968-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300035003-3-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300035037-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300035042-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300035049-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300036119-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300036128-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300036136-2-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300036140-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300037348-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300037483-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300037487-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300056542-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300056556-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300056559-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300056625-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300057136-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300057142-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300057748-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300058031-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300059570-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300059577-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300059585-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300059621-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300065328-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300065332-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300065355-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300065412-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
